"","V1","V2","V3"
"845","1920","TCRG T cell receptor gamma chain","M30894_at"
"846","1921","ATP-DEPENDENT DNA HELICASE II, 86 KD SUBUNIT","M30938_at"
"847","1922","MYH9 Myosin, heavy polypeptide 9, non-muscle","M31013_at"
"848","1926","PTX3 Pentaxin-related gene, rapidly induced by IL-1 beta","M31166_at"
"849","1928","Oncoprotein 18 (Op18) gene","M31303_rna1_at"
"850","1929","GNB3 Guanine nucleotide binding protein (G protein), beta polypeptide 3","M31328_at"
"851","1933","X BOX BINDING PROTEIN-1","M31627_at"
"852","1934","HPRT1 Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)","M31642_at"
"853","1941","ALDH1 Aldehyde dehydrogenase 1, soluble","M31994_at"
"854","1942","NCF2 Neutrophil cytosolic factor 2 (65kD, chronic granulomatous disease, autosomal 2)","M32011_at"
"855","1943","GB DEF = H19 RNA gene","M32053_at"
"856","1944","SRD5A1 Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)","M32313_at"
"857","1945","TNFR2 Tumor necrosis factor receptor 2 (75kD)","M32315_at"
"858","1946","ICAM2 Intercellular adhesion molecule 2","M32334_at"
"859","1952","SRI Sorcin","M32886_at"
"860","1953","Fc-epsilon-receptor gamma-chain mRNA","M33195_at"
"861","1954","VCL Vinculin","M33308_at"
"862","1955","PRKAR1A CAMP-dependent protein kinase regulatory subunit type I","M33336_at"
"863","1958","LARGE PROLINE-RICH PROTEIN BAT2","M33518_at"
"864","1959","LARGE PROLINE-RICH PROTEIN BAT3","M33521_at"
"865","1960","GB DEF = Lymphocyte-specific protein 1 (LSP1) mRNA","M33552_at"
"866","1962","26-kDa cell surface protein TAPA-1 mRNA","M33680_at"
"867","1963","ODC1 Ornithine decarboxylase 1","M33764_at"
"868","1964","MX1 Myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)","M33882_at"
"869","1966","GB DEF = Alpha-2-adrenergic receptor (alpha-2 c2) gene","M34041_at"
"870","1970","CLAPB1 Clathrin-associated/assembly/adaptor protein, large, beta 1","M34175_at"
"871","1971","PRKACB Protein kinase, cAMP-dependent, catalytic, beta","M34181_at"
"872","1975","ITGA2B Integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)","M34344_at"
"873","1976","GLB1 Beta-D-galactosidase","M34423_at"
"874","1977","IDO Indole 2,3-dioxygenase","M34455_at"
"875","1978","FKBP1 FK506-binding protein 1 (12kD)","M34539_at"
"876","1979","PLCG1 Phospholipase C, gamma 1 (formerly subtype 148)","M34667_at"
"877","1980","PTPRA Protein tyrosine phosphatase, receptor type, alpha polypeptide","M34668_at"
"878","1981","FACTOR VIII INTRON 22 PROTEIN","M34677_at"
"879","1982","GB DEF = M1 gene for muscarinic acetylcholine receptor","M35128_at"
"880","1987","FUT1 Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, Bombay phenotype included)","M35531_at"
"881","1988","INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 PRECURSOR","M35878_at"
"882","1989","LIG1 Ligase I, DNA, ATP-dependent","M36067_at"
"883","1990","DNA-REPAIR PROTEIN XRCC1","M36089_at"
"884","1993","ARF4 ADP-ribosylation factor 4","M36341_at"
"885","1995","CD53 CD53 antigen","M37033_at"
"886","1996","ATP5 ATP synthase, H+ transporting, mitochondrial","M37104_at"
"887","1999","GB DEF = Ig superfamily cytotoxic T-lymphocyte-associated protein (CTLA-4) gene, last exon","M37245_at"
"888","2001","CSF1 Colony-stimulating factor 1 (M-CSF)","M37435_at"
"889","2002","H2AZ H2AZ histone","M37583_at"
"890","2005","CD48 CD48 antigen (B-cell membrane protein)","M37766_at"
"891","2009","S100A10 S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))","M38591_at"
"892","2010","CD9 CD9 antigen","M38690_at"
"893","2014","CD72 CD72 antigen","M54992_at"
"894","2015","PPBP Connective tissue activation peptide III","M54995_at"
"895","2018","NCF1 47 kD autosomal chronic granulomatous disease protein","M55067_at"
"896","2020","FAH Fumarylacetoacetate","M55150_at"
"897","2024","CSNK2A1 Casein kinase 2, alpha 1 polypeptide","M55265_at"
"898","2026","CSNK2A2 Casein kinase 2, alpha prime polypeptide","M55268_at"
"899","2029","SLC2A5 Solute carrier family 2 (facilitated glucose transporter), member 5","M55531_at"
"900","2032","MMP2 Matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase)","M55593_at"
"901","2034","VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR","M55671_at"
"902","2041","ARF5 ADP-ribosylation factor 5","M57567_at"
"903","2042","GLI3 PROTEIN","M57609_at"
"904","2043","LGALS3 Lectin, galactoside-binding, soluble, 3 (galectin 3) (NOTE: redefinition of symbol)","M57710_at"
"905","2046","ARF6 ADP-ribosylation factor 6","M57763_at"
"906","2048","UBE1 Ubiquitin activating enzyme E1","M58028_at"
"907","2049","Membrane-associated protein (HEM-1) mRNA","M58285_at"
"908","2051","SYN1 gene (synapsin I) extracted from Human synapsin I (SYN1) gene","M58378_cds1_at"
"909","2052","RPS4Y Ribosomal protein S4, Y-linked","M58459_at"
"910","2056","NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)","M58603_at"
"911","2058","TNFAIP1 Tumor necrosis factor alpha inducible protein A20","M59465_at"
"912","2061","NATURAL KILLER CELLS PROTEIN 4 PRECURSOR","M59807_at"
"913","2062","C4A Complement component 4A","M59815_at"
"914","2063","CSF3R Colony stimulating factor 3 receptor (granulocyte)","M59820_at"
"915","2064","GB DEF = MHC class III HSP70-HOM gene (HLA)","M59829_at"
"916","2065","HEAT SHOCK 70 KD PROTEIN 1","M59830_at"
"917","2066","ITGA3 Integrin alpha-3 subunit","M59911_at"
"918","2073","GALT Galactose-1-phosphate uridyl transferase","M60091_at"
"919","2076","HLA-DQB1 gene extracted from Human guanine nucleotide-binding regulatory protein (Go-alpha) gene","M60165_cds1_at"
"920","2077","DTR Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)","M60278_at"
"921","2078","EPB42 Erythrocyte membrane protein band 4.2","M60298_at"
"922","2084","DCK Deoxycytidine kinase","M60527_at"
"923","2087","Homeobox gene","M60721_at"
"924","2091","GB DEF = Histone H2A.1 (H2A) gene","M60752_at"
"925","2092","EVI2B PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2B PROTEIN)","M60830_at"
"926","2095","Surface antigen mRNA","M60922_at"
"927","2098","CLEAVAGE SIGNAL-1 PROTEIN","M61199_at"
"928","2100","TUBG Tubulin, gamma polypeptide","M61764_at"
"929","2101","PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY ALPHA SUBUNIT","M61906_at"
"930","2103","Growth/differentiation factor 1 (GDF-1) mRNA","M62302_at"
"931","2104","Modulator recognition factor I (MRF-1) mRNA, 3' end","M62324_at"
"932","2111","ATP6C Vacuolar H+ ATPase proton channel subunit","M62762_at"
"933","2112","NAGA N-acetylgalactosaminidase, alpha-","M62783_at"
"934","2114","TCF6L1 Transcription factor 6-like 1 (mitochondrial transcription factor 1-like)","M62810_at"
"935","2115","Transcription factor ETR101 mRNA","M62831_at"
"936","2120","Thyroid autoantigen (truncated actin-binding protein) mRNA","M62994_at"
"937","2121","CTSD Cathepsin D (lysosomal aspartyl protease)","M63138_at"
"938","2123","AKT1 V-akt murine thymoma viral oncogene homolog 1","M63167_at"
"939","2124","AMFR Autocrine motility factor receptor","M63175_at"
"940","2125","TARS Threonyl-tRNA synthetase","M63180_at"
"941","2127","GB DEF = 5-lipoxygenase activating protein (FLAP) gene, exon 5","M63262_at"
"942","2128","CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J)","M63379_at"
"943","2132","PPIB Peptidylprolyl isomerase B (cyclophilin B)","M63573_at"
"944","2133","THYROLIBERIN PRECURSOR","M63582_at"
"945","2134","TAL1 T-cell acute lymphocytic leukemia 1 (NOTE: redefinition of symbol)","M63589_at"
"946","2139","GNA15 Guanine nucleotide binding protein (G protein), alpha 15 (Gq class)","M63904_at"
"947","2140","CD27 CD27 antigen (T cell activation antigen)","M63928_at"
"948","2141","LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1","M63959_at"
"949","2145","High density lipoprotein binding protein (HBP) mRNA","M64098_at"
"950","2147","Udulin 1 mRNA, 3' end","M64108_at"
"951","2148","TYROSINE-PROTEIN KINASE JAK1","M64174_at"
"952","2155","GLDC Glycine cleavage system protein P (glycine decarboxylase)","M64590_at"
"953","2156","RAC2 Ras-related C3 botulinum toxin substrate 2","M64595_at"
"954","2157","HEAT SHOCK FACTOR PROTEIN 1","M64673_at"
"955","2161","MPP1 Membrane protein, palmitoylated 1 (55kD)","M64925_at"
"956","2162","PPP2R2A Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform","M64929_at"
"957","2164","XK Kell blood group precursor (McLeod phenotype)","M64934_at"
"958","2166","PSMA2 Proteasome component C2","M64992_at"
"959","2167","PRKAR1B Protein kinase, cAMP-dependent, regulatory, type I, beta","M65066_at"
"960","2168","FSHR Follicle stimulating hormone receptor","M65085_at"
"961","2171","HEAT SHOCK FACTOR PROTEIN 2","M65217_at"
"962","2177","CDK2 Cyclin-dependent kinase 2","M68520_at"
"963","2179","ORF mRNA","M68864_at"
"964","2181","GATA2 GATA-binding protein 2","M68891_at"
"965","2183","GB DEF = Protein-tyrosine phosphatase mRNA","M68941_at"
"966","2184","Globin gene","M69023_at"
"967","2185","PRE-MRNA SPLICING FACTOR SF2, P32 SUBUNIT PRECURSOR","M69039_at"
"968","2186","MAJOR HISTOCOMPATIBILITY COMPLEX ENHANCER-BINDING PROTEIN MAD3","M69043_at"
"969","2187","MSN Moesin","M69066_at"
"970","2191","TPP2 Tripeptidyl peptidase II","M73047_at"
"971","2196","POLYPOSIS LOCUS PROTEIN 1","M73547_at"
"972","2197","CPA3 Carboxypeptidase A3 (mast cell)","M73720_at"
"973","2199","Arginine-rich nuclear protein mRNA","M74002_at"
"974","2201","TB1 gene mRNA, 3' end","M74089_at"
"975","2205","CUTL1 Cut (Drosophila)-like 1 (CCAAT displacement protein)","M74099_at"
"976","2210","ARF3 ADP-ribosylation factor 3","M74491_at"
"977","2211","UBE2A Ubiquitin-conjugating enzyme E2A (RAD6 homolog)","M74524_at"
"978","2215","SEF2-1A protein (SEF2-1A) mRNA, 5' end","M74719_at"
"979","2217","FRAP FK506 binding protein 12-rapamycin associated protein","M75099_at"
"980","2220","HK1 Hexokinase 1","M75126_at"
"981","2223","FN1 Fibronectin 1","M76378_at"
"982","2224","Carbonic anhydrase VII (CA VII) gene","M76424_at"
"983","2230","GTF2B General transcription factor IIB","M76766_at"
"984","2233","NUCLEOLYSIN TIA-1","M77142_at"
"985","2237","YY1 YY1 transcription factor","M77698_at"
"986","2239","PYCR1 Pyrroline-5-carboxylate reductase 1","M77836_at"
"987","2241","INTEGRAL MEMBRANE PROTEIN E16","M80244_at"
"988","2242","PEPTIDYL-PROLYL CIS-TRANS ISOMERASE, MITOCHONDRIAL PRECURSOR","M80254_at"
"989","2243","GB DEF = M5 muscarinic acetylcholine receptor gene","M80333_at"
"990","2244","Protein kinase A catalytic subunit mRNA, 3' end","M80335_at"
"991","2245","PUTATIVE SERINE/THREONINE-PROTEIN KINASE P78","M80359_at"
"992","2248","PLACENTAL CALCIUM-BINDING PROTEIN","M80563_at"
"993","2249","Cdc2-related protein kinase (CHED) mRNA","M80629_at"
"994","2250","THROMBOXANE-A SYNTHASE","M80647_at"
"995","2252","AHNAK AHNAK nucleoprotein (desmoyokin)","M80899_at"
"996","2253","CPB1 Carboxypeptidase B1 (tissue)","M81057_at"
"997","2256","TRANSCRIPTION ELONGATION FACTOR S-II","M81601_at"
"998","2260","SODIUM CHANNEL PROTEIN, SKELETAL MUSCLE ALPHA-SUBUNIT","M81758_at"
"999","2263","SMPD1 gene (acid sphingomyelinase) extracted from Homo sapiens acid sphingomyelinase (SMPD1) gene, ORF's 1-3's","M81780_cds5_at"
"1000","2265","GB DEF = Somatostatin receptor isoform 2 (SSTR2) gene","M81830_at"
"1001","2268","ANX4 Annexin IV (placental anticoagulant protein II)","M82809_at"
"1002","2269","ETS-RELATED TRANSCRIPTION FACTOR ELF-1","M82882_at"
"1003","2272","PGM1 Phosphoglucomutase 1","M83088_at"
"1004","2273","GB DEF = Serotonin receptor gene","M83181_at"
"1005","2275","TRANSCRIPTION FACTOR RELB","M83221_at"
"1006","2276","TCF12 Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)","M83233_at"
"1007","2282","Arginine-rich protein (ARP) gene","M83751_at"
"1008","2287","CD59 CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)","M84349_at"
"1009","2288","DF D component of complement (adipsin)","M84526_at"
"1010","2291","CALR Autoantigen calreticulin","M84739_at"
"1011","2295","Homologue of yeast sec7 mRNA","M85169_at"
"1012","2298","GB DEF = Dopamine D1A receptor gene, complete exon 1, and exon 2, 5' end","M85247_at"
"1013","2299","NKG5 PROTEIN PRECURSOR","M85276_at"
"1014","2300","YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide","M86400_at"
"1015","2304","PBX1 PBX1a and PBX1b","M86546_at"
"1016","2305","HnRNP C2 protein mRNA","M86667_at"
"1017","2307","GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE","M86707_at"
"1018","2308","SSRP1 High mobility group box","M86737_at"
"1019","2309","TRANSFORMATION-SENSITIVE PROTEIN IEF SSP 3521","M86752_at"
"1020","2313","PXMP3 Peroxisomal membrane protein 3 (35kD, Zellweger syndrome)","M86852_at"
"1021","2319","RFC4 Replication factor C, 37-kD subunit","M87339_at"
"1022","2320","69/71 KD","M87434_at"
"1023","2322","TRANSCRIPTIONAL REGULATOR ISGF3 GAMMA SUBUNIT","M87503_at"
"1024","2323","GALECTIN-2","M87860_at"
"1025","2324","P62 mRNA","M88108_at"
"1026","2326","FKBP4 FK506-binding protein 4 (59kD)","M88279_at"
"1027","2327","T-CELL SURFACE PROTEIN TACTILE PRECURSOR","M88282_at"
"1028","2329","ELP-1 mRNA sequence","M88458_at"
"1029","2330","MVK Mevalonate kinase","M88468_at"
"1030","2335","IGB Immunoglobulin-associated beta (B29)","M89957_at"
"1031","2336","GCK Glucokinase (hexokinase 4, maturity onset diabetes of the young 2)","M90299_at"
"1032","2340","GLCLC Glutamate-cysteine ligase (gamma-glutamylcysteine synthetase), catalytic (72.8kD)","M90656_at"
"1033","2344","AMP deaminase (AMPD2) mRNA","M91029_cds2_at"
"1034","2345","G-gamma globin gene extracted from H.sapiens G-gamma globin and A-gamma globin genes's","M91036_rna1_at"
"1035","2346","DNA-binding protein (HRC1) mRNA","M91083_at"
"1036","2347","ICSBP1 Interferon consensus sequence binding protein 1","M91196_at"
"1037","2348","ACADM Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain","M91432_at"
"1038","2349","GB DEF = Kazal-type serine proteinase (HUSI-II) gene","M91438_at"
"1039","2351","Br140 mRNA","M91585_at"
"1040","2352","ZNF76 Zinc finger protein 76","M91592_at"
"1041","2353","Ubiquitin carrier protein (E2-EPF) mRNA","M91670_at"
"1042","2354","CCND3 Cyclin D3","M92287_at"
"1043","2355","DIHYDROPRYRIDINE-SENSITIVE L-TYPE, CALCIUM CHANNEL BETA-1-B1 SUBUNIT","M92303_at"
"1044","2356","B94 PROTEIN","M92357_at"
"1045","2359","130 KD LEUCINE-RICH PROTEIN","M92439_at"
"1046","2360","LTR mRNA, 3' end of coding region and 3' flank","M92449_at"
"1047","2361","CTGF Connective tissue growth factor","M92934_at"
"1048","2363","LEUKOCYTE ELASTASE INHIBITOR","M93056_at"
"1049","2364","D-BETA-HYDROXYBUTYRATE DEHYDROGENASE PRECURSOR","M93107_at"
"1050","2366","M6PR Mannose receptor","M93221_at"
"1051","2367","Pancreatic lipase related protein 1 (PLRP1) mRNA","M93283_at"
"1052","2369","Methylmalonate semialdehyde dehydrogenase gene","M93405_at"
"1053","2372","PTPRZ Protein tyrosine phosphatase, receptor-type, zeta polypeptide","M93426_at"
"1054","2374","NOS3 Nitric oxide synthase 3 (endothelial cell)","M93718_at"
"1055","2379","MDK Midkine (neurite growth-promoting factor 2)","M94250_at"
"1056","2380","CAPG Capping protein (actin filament), gelsolin-like","M94345_at"
"1057","2381","LAMB2 Laminin, beta 2 (laminin S)","M94362_at"
"1058","2383","SSBP Single-stranded DNA-binding protein","M94556_at"
"1059","2384","Heterogeneous nuclear ribonucleoprotein D (hnRNP D), partial cds, clone cDx4","M94630_at"
"1060","2385","GB DEF = Recombination acitivating protein (RAG2) gene, last exon","M94633_at"
"1061","2386","FATTY ACID-BINDING PROTEIN, EPIDERMAL","M94856_at"
"1062","2389","ALPHA-ACTININ 1, CYTOSKELETAL ISOFORM","M95178_at"
"1063","2390","SLC5A2 Solute carrier family 5 (sodium/glucose cotransporter), member 2","M95549_at"
"1064","2391","COL9A2 Collagen, type IX, alpha 2","M95610_at"
"1065","2392","PBGD gene (hydroxymethylbilane synthase) extracted from Homo sapiens hydroxymethylbilane synthase gene","M95623_cds1_at"
"1066","2394","PLCB2 Phospholipase C, beta 2","M95678_at"
"1067","2395","BRAF V-raf murine sarcoma viral oncogene homolog B1","M95712_at"
"1068","2398","22kDa smooth muscle protein (SM22) mRNA","M95787_at"
"1069","2402","Azurocidin gene","M96326_rna1_at"
"1070","2408","SPTBN1 Spectrin, beta, non-erythrocytic 1","M96803_at"
"1071","2409","DPP6 Dipeptidylpeptidase VI","M96859_at"
"1072","2412","SPLICING FACTOR U2AF 35 KD SUBUNIT","M96982_at"
"1073","2413","SATB1 Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's)","M97287_at"
"1074","2418","CRABP2 Cellular retinoic acid-binding protein 2","M97815_at"
"1075","2419","NASP Nuclear autoantigenic sperm protein (histone-binding)","M97856_at"
"1076","2420","Defensin 5 gene","M97925_rna1_at"
"1077","2421","SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA","M97936_at"
"1078","2422","Folylpolyglutamate synthetase mRNA","M98045_at"
"1079","2426","Prostaglandin D2 synthase gene","M98539_at"
"1080","2427","Keratin 1 gene","M98776_rna1_at"
"1081","2428","FLI1 Friend leukemia virus integration 1","M98833_at"
"1082","2429","KERATIN, TYPE II CYTOSKELETAL 2 ORAL","M99063_at"
"1083","2432","(pp21) mRNA","M99701_at"
"1084","2437","KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL","S43646_at"
"1085","2438","CRYAB Crystallin alpha-B","S45630_at"
"1086","2441","HKR-T1","S50223_at"
"1087","2442","CD34 CD34 antigen (hemopoietic progenitor cell antigen)","S53911_at"
"1088","2447","Pp52","S58733_at"
"1089","2448","RGS1 Regulator of G-protein signalling 1","S59049_at"
"1090","2450","ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products}","S61953_at"
"1091","2452","D10S102","S63912_at"
"1092","2453","SP-10=intra-acrosomal protein {alternatively spliced} [human, liver, Genomic, 2339 nt 4 segments]","S65583_rna1_at"
"1093","2454","Actin depolymerizing factor [human, fetal brain, mRNA, 1452 nt]","S65738_at"
"1094","2455","RBP2","S66431_at"
"1095","2457","Heat shock protein HSP72 homolog [human, thyroid associated ophthalmopathy patient, mRNA Partial, 450 nt]","S67070_at"
"1096","2459","PCCB Propionyl Coenzyme A carboxylase, beta polypeptide","S67325_at"
"1097","2462","SLC9A1 Solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)","S68616_at"
"1098","2463","Granulocyte colony-stimulating factor induced gene [human, CML patient, bone marrow mononuclear cells, mRNA, 833 nt]","S69115_at"
"1099","2471","GB DEF = Glycine transporter type 1b [human, substantia nigra, mRNA, 2364 nt]","S70609_at"
"1100","2474","NEURAL CELL ADHESION MOLECULE, PHOSPHATIDYLINOSITOL-LINKED ISOFORM PRECURSOR","S71824_at"
"1101","2475","CDC10 Cell division cycle 10 (homologous to CDC10 of S. cerevisiae","S72008_at"
"1102","2477","Platelet-derived endothelial cell growth factor mRNA","S72487_at"
"1103","2482","Brain-expressed HHCPA78 homolog [human, HL-60 acute promyelocytic leukemia cells, mRNA, 2704 nt]","S73591_at"
"1104","2484","Nrf2","S74017_at"
"1105","2485","IK","S74221_at"
"1106","2486","Cellular retinoic acid-binding protein [human, skin, mRNA, 735 nt]","S74445_at"
"1107","2489","Matk=megakaryocyte-associated tyrosine kinase [human, Genomic, 2617 nt 13 segments]","S75168_rna1_at"
"1108","2493","ELONGATION FACTOR TU, MITOCHONDRIAL PRECURSOR","S75463_at"
"1109","2497","BLK Protein-tyrosine kinase blk","S76617_at"
"1110","2498","Protein kinase inhibitor [human, neuroblastoma cell line SH-SY-5Y, mRNA, 2147 nt]","S76965_at"
"1111","2499","VAV2 Vav 2 oncogene","S76992_at"
"1112","2501","GB DEF = Transcript ch21=oligomycin sensitivity conferral protein oscp homolog [human, RF1,RF48 stomach cancer cell lines, mRNA, 262 nt]","S77356_at"
"1113","2506","GB DEF = ERV9 reverse transcriptase homolog {clone RT18} [human, multiple sclerosis, brain plaques, mRNA Partial, 84 nt]","S77576_at"
"1114","2508","NF-E2 protein (NF-E2) mRNA","S77763_at"
"1115","2509","FLT1 Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)","S77812_at"
"1116","2510","PDCD2 Programmed cell death 2","S78085_at"
"1117","2511","M-PHASE INDUCER PHOSPHATASE 2","S78187_at"
"1118","2513","Neurofilament-66 [human, fetal brain, mRNA, 3197 nt]","S78296_at"
"1119","2522","EXT1 Exostoses (multiple) 1","S79639_at"
"1120","2526","ITGB7 Integrin beta-7 subunit","S80335_at"
"1121","2529","L-UBC","S81003_at"
"1122","2534","TGF-beta inducible early protein (TIEG) mRNA","S81439_at"
"1123","2537","IEX-1","S81914_at"
"1124","2546","BB1","S82470_at"
"1125","2552","GB DEF = Putative Rab5-interacting protein {clone L1-57} [human, HeLa cells, mRNA Partial, 366 nt]","S83364_at"
"1126","2557","PHB Prohibitin","S85655_at"
"1127","2559","Protein phosphatase 2C alpha [human, teratocarcinoma, mRNA, 2346 nt]","S87759_at"
"1128","2560","Cytochrome P450 reductase [human, placenta, mRNA Partial, 2403 nt]","S90469_at"
"1129","2563","BCL6 B cell lymphoma protein 6 (zinc finger protein 51)","U00115_at"
"1130","2565","IL10R Interleukin 10 receptor","U00672_at"
"1131","2566","LST1 mRNA, cLST1/E splice variant","U00921_at"
"1132","2568","GB DEF = Clone A9A2BRB2 (CAC)n/(GTG)n repeat-containing mRNA","U00943_at"
"1133","2572","Clone A9A2BRB7 (CAC)n/(GTG)n repeat-containing mRNA","U00952_at"
"1134","2575","SREBP-1 mRNA","U00968_at"
"1135","2576","PLK mRNA","U01038_at"
"1136","2580","ABR Active BCR-related gene","U01147_at"
"1137","2583","GB DEF = Olfactory marker protein (OMP) gene","U01212_at"
"1138","2585","Beta-globin thalassemia gene extracted from Human beta globin region on chromosome 11","U01317_cds6_at"
"1139","2586","Glutamate transporter","U01824_at"
"1140","2590","BTK region clone ftp-3 mRNA","U01923_at"
"1141","2592","Pre-B cell enhancing factor (PBEF) mRNA","U02020_at"
"1142","2593","Sterol regulatory element binding protein-2 mRNA","U02031_at"
"1143","2594","Guanine nucleotide regulatory protein (NET1) mRNA","U02081_at"
"1144","2596","FKHR Homolog 1 of Drosophila forkhead (rhabdomyosarcoma)","U02310_at"
"1145","2597","54 kDa protein mRNA","U02493_at"
"1146","2598","RP3 mRNA","U02556_at"
"1147","2599","CDC42 GTPase-activating protein mRNA, partial cds","U02570_at"
"1148","2601","TFIIIC Box B-binding subunit mRNA","U02619_at"
"1149","2604","Growth factor receptor tyrosine kinase (STK-1) mRNA","U02687_at"
"1150","2606","Actin bundling protein mRNA","U03057_at"
"1151","2607","Ca2+-dependent phospholipase A2 mRNA","U03090_at"
"1152","2609","B4-2 protein mRNA","U03105_at"
"1153","2611","GB DEF = Centrin mRNA","U03270_at"
"1154","2612","FBN2 Fibrillin 2","U03272_at"
"1155","2614","Receptor 4-1BB ligand mRNA","U03398_at"
"1156","2618","G protein-coupled receptor APJ gene","U03642_at"
"1157","2621","Capping protein alpha mRNA, partial cds","U03851_at"
"1158","2624","Phorbolin I mRNA, partial cds","U03891_at"
"1159","2635","Trophinin mRNA","U04811_at"
"1160","2638","RORA RAR-related orphan receptor A","U04898_at"
"1161","2641","Fetal Alz-50-reactive clone 1 (FAC1) mRNA","U05237_at"
"1162","2642","MB-1 gene","U05259_rna1_at"
"1163","2645","P55CDC mRNA","U05340_at"
"1164","2647","HSD17B3 Hydroxysteroid (17-beta) dehydrogenase 3","U05659_at"
"1165","2648","Clone pSK1 interferon gamma receptor accessory factor-1 (AF-1) mRNA","U05875_at"
"1166","2649","N-ACETYLGALACTOSAMINE-6-SULFATASE PRECURSOR","U06088_at"
"1167","2653","IEF SSP 9502 mRNA","U06631_at"
"1168","2655","Clone CCA12 mRNA containing CCA trinucleotide repeat","U06681_at"
"1169","2657","Follistatin-related protein precursor mRNA","U06863_at"
"1170","2659","Orphan receptor mRNA, partial cds","U07132_at"
"1171","2661","Syntaxin mRNA","U07158_at"
"1172","2662","Beta2-chimaerin mRNA","U07223_at"
"1173","2666","Protein kinase (zpk) mRNA","U07358_at"
"1174","2667","MLH1 DNA mismatch repair protein MLH1","U07418_at"
"1175","2668","Putative tRNA synthetase-like protein mRNA","U07424_at"
"1176","2669","HSPE1 Heat shock 10 kD protein 1 (chaperonin 10)","U07550_at"
"1177","2671","ABL gene, exon 1b and intron 1b, and putative M8604 Met protein  (M8604 Met) gene","U07563_cds1_at"
"1178","2673","HB9 homeobox gene","U07664_at"
"1179","2674","NAD(H)-specific isocitrate dehydrogenase alpha subunit precursor mRNA","U07681_at"
"1180","2675","HTK Hepatoma transmembrane kinase","U07695_at"
"1181","2677","ERF-2 mRNA","U07802_at"
"1182","2680","SRP14 Signal recognition particle 14 kD protein","U07857_at"
"1183","2682","ALDH6 Aldehyde dehydrogenase 6 ","U07919_at"
"1184","2688","GB DEF = Insulin-stimulated protein kinase 1 (ISPK-1) mRNA","U08316_at"
"1185","2689","Basic helix-loop-helix transcription factor mRNA","U08336_at"
"1186","2693","Splicesomal protein (SAP 61) mRNA","U08815_at"
"1187","2694","Glutamate transporter mRNA","U08989_at"
"1188","2697","Phospholipase c delta 1 mRNA","U09117_at"
"1189","2698","1.1 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells","U09196_at"
"1190","2701","PINCH protein mRNA","U09284_at"
"1191","2702","Placenta LERK-2 (EPLG2) mRNA","U09303_at"
"1192","2706","ZNF131 Zinc finger protein 131 (clone pHZ-10)","U09410_at"
"1193","2713","Serine kinase mRNA","U09564_at"
"1194","2714","MAPKAP kinase (3pK) mRNA","U09578_at"
"1195","2715","CDKN1A Cyclin-dependent kinase inhibitor 1A (p21, Cip1)","U09579_at"
"1196","2717","JAK3 Janus kinase 3 (a protein tyrosine kinase, leukocyte)","U09607_at"
"1197","2720","Cysteine-rich heart protein (hCRHP) mRNA","U09770_at"
"1198","2722","ZNF173 Acid finger protein ZNF173","U09825_at"
"1199","2723","ZNF139 Zinc finger protein 139 (clone pHZ-37)","U09848_at"
"1200","2724","ZNF143 Zinc finger protein 143 (clone pHZ-1)","U09850_at"
"1201","2728","CALMODULIN","U10117_at"
"1202","2729","Nuclear factor NF45 mRNA","U10323_at"
